,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual
1508,2018,38593.0,1,18.7,1199,88.7,5.0,6.17,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1509,2015,32000.0,1,17.0,1497,118.0,5.0,5.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1510,2017,28226.0,1,28.4,1248,73.75,5.0,9.15,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1511,2014,95000.0,1,21.64,1461,84.8,5.0,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1512,2014,194000.0,1,12.99,2494,100.6,8.0,10.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1513,2016,14821.0,1,19.4,1198,86.8,5.0,5.37,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1514,2012,52000.0,1,15.04,1598,103.6,5.0,5.45,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1515,2016,33000.0,1,16.0,2179,140.0,7.0,9.25,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1516,2016,29200.0,1,23.0,1498,98.96,5.0,7.7,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1517,2012,99754.0,1,17.72,1968,108.49,5.0,7.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1518,2012,49000.0,1,20.36,1197,78.9,5.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1519,2005,299322.0,1,12.8,2494,102.0,8.0,4.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1520,2018,38310.0,1,20.65,1248,88.7,5.0,6.69,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1521,2014,56000.0,1,22.9,1248,74.0,5.0,4.25,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1522,2017,31300.0,1,21.72,1498,108.4,5.0,10.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1523,2019,11241.0,1,13.68,2393,147.8,8.0,22.55,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1524,2014,48000.0,2,17.01,1591,121.3,5.0,5.2,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1525,2019,23882.0,1,17.4,1497,117.3,5.0,11.87,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1526,2014,65000.0,1,26.0,1498,98.6,5.0,6.99,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1527,2011,50000.0,1,20.54,1598,103.6,5.0,5.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1528,2014,25000.0,1,12.19,2967,236.0,5.0,44.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1529,2015,21000.0,1,22.74,796,47.3,5.0,2.79,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1530,2012,148000.0,2,21.12,1248,88.8,5.0,2.9,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1531,2016,68000.0,1,15.29,1591,121.3,5.0,9.85,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1532,2014,52000.0,1,12.0,2987,224.0,7.0,49.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1533,2016,19000.0,1,16.55,2498,105.0,6.0,9.25,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1534,2011,74000.0,2,22.32,1582,126.3,5.0,3.75,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1535,2017,30279.0,1,26.1,1498,99.0,5.0,7.29,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1536,2016,20000.0,1,20.7,1496,113.98,4.0,23.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1537,2013,34834.0,1,14.0,796,35.0,5.0,2.6,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1538,2015,90000.0,2,21.03,1461,65.0,5.0,3.1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1539,2016,38730.0,1,14.21,2143,203.0,5.0,29.98,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1540,2016,57390.0,1,19.01,1461,108.45,5.0,6.73,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1541,2016,100000.0,1,23.4,1248,74.0,5.0,3.5,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1542,2011,50000.0,1,16.47,1198,73.9,5.0,2.35,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1543,2017,64961.0,1,16.0,2179,140.0,7.0,16.13,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1544,2014,72465.0,1,16.47,1198,74.0,5.0,5.9,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1545,2012,68776.0,1,21.1,1197,85.8,5.0,3.9,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1547,2012,68000.0,1,12.8,2494,102.0,7.0,6.95,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1548,2015,33000.0,1,26.0,1498,98.6,5.0,7.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1549,2017,22389.0,1,17.0,1198,73.75,5.0,7.23,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1550,2012,90000.0,1,21.5,1248,88.8,5.0,3.81,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1551,2012,42000.0,3,18.6,1197,85.8,5.0,4.5,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1552,2017,38767.0,1,19.67,1582,126.2,5.0,12.6,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1553,2015,21000.0,1,12.07,2967,241.4,7.0,48.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1554,2010,59136.0,1,19.7,796,46.3,5.0,2.96,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1555,2014,36000.0,1,25.8,1498,98.6,5.0,3.25,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1556,2011,95000.0,2,18.33,1968,167.7,5.0,8.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1557,2013,51000.0,1,19.5,1582,126.24,5.0,8.75,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1558,2011,36411.0,1,18.9,998,67.1,5.0,3.08,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1559,2017,40000.0,1,12.81,1999,148.31,7.0,41.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1560,2016,27300.0,1,17.8,1497,117.3,5.0,7.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1561,2011,29813.0,2,14.74,1991,181.03,5.0,11.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1562,2011,71000.0,1,20.51,998,67.04,5.0,2.6,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1563,2014,32000.0,1,22.32,1582,126.3,5.0,4.3,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1564,2017,19234.0,1,17.5,1373,80.46,7.0,8.35,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1565,2017,50510.0,1,17.06,1968,141.0,5.0,24.9,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1566,2011,102000.0,1,15.06,1995,177.0,5.0,13.75,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1567,2014,42277.0,1,24.0,1186,73.97,5.0,3.85,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1568,2014,46000.0,1,13.0,2143,201.1,5.0,23.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1570,2015,50000.0,1,18.9,1197,82.0,5.0,5.75,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1571,2008,62000.0,2,20.36,1197,78.9,5.0,1.65,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1572,2012,78000.0,1,19.33,1968,138.1,5.0,6.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1573,2011,79000.0,1,17.67,1968,138.08,5.0,7.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1574,2019,6773.0,1,14.75,2967,245.0,7.0,72.94,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1575,2010,135000.0,2,11.5,2982,171.0,7.0,11.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1576,2013,36716.0,1,18.9,1061,67.0,5.0,3.02,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1577,2013,65060.0,1,21.1,814,55.2,5.0,3.32,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1578,2013,33000.0,1,19.4,1198,86.8,5.0,3.24,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1579,2015,11110.0,1,22.74,796,47.3,5.0,2.35,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1580,2013,63000.0,1,15.96,2523,62.1,7.0,5.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1581,2015,27030.0,1,17.8,1497,117.3,5.0,6.75,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1582,2015,19600.0,1,15.0,1598,103.52,5.0,6.15,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1583,2016,27755.0,1,22.0,1197,81.8,5.0,5.45,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1584,2013,20000.0,2,21.1,814,55.2,5.0,2.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1585,2015,24782.0,1,20.85,1197,83.14,5.0,6.21,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1586,2014,47303.0,1,19.34,1198,76.0,5.0,5.21,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1587,2008,71000.0,1,8.3,4134,250.0,7.0,11.99,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1588,2010,135000.0,1,17.8,1248,75.0,5.0,3.1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1589,2017,1000.0,1,13.49,2179,138.03,5.0,7.5,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1590,2016,29000.0,1,20.14,1498,88.8,5.0,4.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1591,2016,36367.0,1,17.8,1497,117.3,5.0,7.73,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1592,2015,38000.0,1,17.4,1497,117.3,5.0,7.8,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1593,2011,83969.0,1,16.1,796,37.0,4.0,1.3,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1594,2014,82621.0,1,20.14,1498,88.8,5.0,4.42,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1595,2009,89000.0,1,12.5,1991,147.9,7.0,4.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1596,2016,54000.0,1,16.0,2179,140.0,7.0,13.0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1597,2015,61691.0,1,25.8,1498,98.6,5.0,5.38,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1598,2011,32200.0,2,17.0,1197,80.0,5.0,3.25,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1599,2016,68630.0,1,20.51,998,67.0,5.0,3.87,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1600,2014,61000.0,2,16.96,1968,138.03,5.0,8.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1601,2018,32644.0,1,20.73,1373,91.1,5.0,9.28,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1602,2012,85000.0,1,11.79,2179,120.0,7.0,6.25,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1603,2008,75000.0,2,15.26,1150,74.9,5.0,1.15,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1604,2016,40347.0,1,20.73,1373,91.2,5.0,7.8,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1605,2012,60788.0,1,23.0,1396,90.0,5.0,4.5,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1606,2018,18664.0,1,18.7,1199,88.7,5.0,7.56,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1607,2017,57847.0,1,16.0,2179,140.0,7.0,16.08,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1608,2012,52237.0,1,17.0,1197,80.0,5.0,4.5,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1609,2012,128000.0,1,22.32,1582,126.32,5.0,5.0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1610,2011,54000.0,1,19.81,1086,68.05,5.0,2.2,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1611,2014,49800.0,1,23.1,998,67.04,5.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1612,2012,98000.0,1,20.86,1199,73.9,5.0,2.51,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1613,2015,60095.0,1,25.2,1248,74.0,5.0,4.75,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1614,2008,68000.0,2,16.0,1086,66.7,5.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1615,2010,81402.0,2,20.36,1197,78.9,5.0,2.1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1616,2013,38000.0,1,16.5,1499,110.0,5.0,6.25,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1617,2011,92239.0,2,11.5,2987,210.0,5.0,10.6,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1618,2017,49224.0,1,25.2,1248,74.0,5.0,6.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1619,2004,12000.0,2,16.1,796,37.0,4.0,0.45,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1620,2010,54898.0,3,16.1,1298,88.2,5.0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1621,2018,2500.0,1,15.29,1591,121.3,5.0,12.75,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1622,2017,32838.0,1,17.05,1995,190.0,5.0,30.29,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1623,2006,27076.0,1,13.8,1299,70.0,5.0,1.6,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1624,2017,75445.0,1,22.7,1498,89.84,5.0,7.54,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1625,2015,46601.0,1,20.73,1373,91.1,5.0,6.84,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1626,2012,72000.0,1,18.33,1968,167.7,5.0,6.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1627,2017,27000.0,1,27.3,1498,98.6,5.0,8.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1628,2016,68193.0,1,17.11,1968,174.33,5.0,24.74,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1629,2017,34429.0,1,24.0,1120,70.0,5.0,5.5,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1630,2013,46000.0,1,12.0,2987,224.0,7.0,36.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1631,2013,80544.0,1,12.99,2494,100.6,7.0,11.79,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1632,2011,42000.0,2,16.95,1498,97.7,5.0,3.0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1633,2011,94821.0,2,20.0,1968,138.1,5.0,6.75,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1634,2006,100000.0,1,14.49,1399,92.7,5.0,1.4,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1635,2014,57000.0,1,24.2,1498,98.6,7.0,5.75,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1636,2010,79894.0,1,21.1,1248,73.9,5.0,3.4,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1637,2011,44748.0,2,16.47,1198,73.9,5.0,4.89,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1638,2013,31000.0,1,13.24,1598,102.5,5.0,4.95,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1639,2013,60587.0,2,16.98,998,66.1,5.0,3.49,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1641,2014,43772.0,1,17.0,1497,118.0,5.0,6.35,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1642,2017,23576.0,1,18.9,1197,82.0,5.0,7.08,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1643,2017,4000.0,1,13.6,1999,177.0,5.0,38.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1644,2012,62000.0,1,12.05,2179,120.0,8.0,6.25,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1645,2011,36000.0,1,11.74,1796,186.0,5.0,10.15,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1646,2014,80000.0,1,13.7,1798,157.75,5.0,10.75,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1647,2012,137008.0,1,18.1,1991,147.9,4.0,4.65,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1648,2010,61001.0,1,12.05,2179,120.0,8.0,4.75,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1649,2015,52191.0,1,17.1,1591,121.3,5.0,7.78,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1650,2016,77076.0,1,23.0,1396,90.0,5.0,6.75,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1651,2008,56000.0,1,16.4,1497,78.0,5.0,2.99,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1652,2013,21000.0,1,20.36,1197,78.9,5.0,2.35,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1653,2013,89429.0,1,25.8,1498,98.6,5.0,3.65,0,0,0,1,0,0,0,0,0,0,1,0,0,1
1654,2012,45631.0,2,22.5,998,67.04,5.0,2.74,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1655,2013,53959.0,1,19.4,1198,86.8,5.0,3.5,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1656,2014,55804.0,1,17.0,1197,80.0,5.0,4.76,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1657,2016,25899.0,1,15.04,1598,103.2,5.0,6.2,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1658,2008,82000.0,2,18.7,1896,66.0,5.0,2.35,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1659,2014,52000.0,1,13.0,2143,204.0,5.0,24.5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1660,2013,20000.0,1,13.24,1598,102.57,5.0,6.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1661,2017,31829.0,1,21.1,814,55.2,5.0,3.65,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1662,2016,18094.0,2,18.6,1197,85.8,5.0,6.26,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1664,2015,11964.0,1,13.22,2967,241.4,5.0,32.95,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1665,2018,22684.0,1,18.6,1197,81.83,5.0,7.8,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1666,2014,43521.0,1,19.4,1198,86.8,5.0,4.25,1,0,0,0,0,0,0,0,0,0,0,0,1,1
1667,2014,49386.0,1,17.5,1298,85.8,5.0,4.86,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1668,2017,12248.0,1,18.9,1197,81.86,5.0,4.9,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1669,2014,67771.0,1,11.68,2498,112.0,8.0,7.06,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1670,2015,60007.0,1,17.21,1798,189.0,4.0,4.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1671,2011,48624.0,1,24.07,998,67.1,5.0,3.22,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1672,2014,30000.0,1,22.07,1199,73.9,5.0,3.25,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1673,2016,81605.0,1,18.9,1197,82.0,5.0,4.53,0,0,0,1,0,0,0,0,0,0,0,0,1,1
1674,2017,32642.0,1,14.84,2143,170.0,5.0,34.78,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1675,2014,34200.0,1,15.74,1591,121.3,5.0,6.5,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1676,2010,72204.0,1,15.7,1172,67.0,5.0,2.25,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1677,2011,156347.0,2,12.99,2494,100.0,8.0,8.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1678,2017,47357.0,1,18.49,1493,100.0,7.0,8.37,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1679,2015,61738.0,1,20.14,1498,88.8,5.0,5.39,0,0,1,0,0,0,0,0,0,0,1,0,0,1
1680,2018,32586.0,1,22.48,1995,190.0,5.0,37.3,0,0,0,0,0,0,1,0,0,0,1,0,0,0
1681,2018,40129.0,1,11.57,2987,254.79,5.0,70.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1682,2012,51000.0,1,11.74,2987,254.8,5.0,22.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1683,2018,10393.0,1,18.9,1197,81.86,5.0,6.03,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1684,2011,46000.0,1,13.7,1798,157.75,5.0,4.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1685,2013,21000.0,1,16.95,1197,78.9,5.0,3.96,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1686,2011,113562.0,1,23.0,1396,90.0,5.0,4.6,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1687,2011,100010.0,2,12.05,2179,120.0,8.0,5.5,0,0,0,0,0,0,0,0,1,0,1,0,0,1
1688,2013,63107.0,1,19.4,1198,86.8,5.0,3.25,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1689,2017,58500.0,1,18.6,1197,81.83,5.0,6.25,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1690,2007,90000.0,4,10.9,2499,143.0,7.0,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1691,2011,108242.0,1,16.8,1493,110.0,5.0,4.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1692,2011,146300.0,1,11.5,2982,171.0,7.0,12.25,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1693,2011,62943.0,2,17.05,1995,184.0,5.0,10.95,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1694,2013,65000.0,1,12.55,2982,168.5,7.0,16.5,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1695,2018,1700.0,1,19.0,1199,88.76,5.0,7.8,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1696,2013,34697.0,1,19.81,1086,68.05,5.0,3.7,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1697,2012,58000.0,1,17.0,1197,80.0,5.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1698,2015,32500.0,1,19.59,1995,187.74,5.0,26.75,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1699,2016,58661.0,1,15.17,1968,181.0,5.0,28.03,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1700,2017,37124.0,1,20.4,1197,81.8,5.0,5.44,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1701,2017,44000.0,1,21.4,1197,83.1,5.0,6.2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1702,2005,45200.0,1,13.2,1495,94.0,5.0,0.9,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1703,2016,11000.0,1,18.5,1197,85.8,5.0,3.95,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1704,2011,65000.0,2,26.0,624,35.0,4.0,0.44,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1705,2012,55005.0,1,20.0,1399,68.0,5.0,2.75,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1706,2011,81650.0,1,18.33,1968,167.7,5.0,7.5,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1707,2010,160000.0,2,19.0,1248,93.0,5.0,2.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1708,2015,169000.0,1,14.95,2489,93.7,7.0,5.0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1709,2013,67263.0,1,18.9,998,67.1,5.0,3.6,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1710,2012,44223.0,1,17.6,1496,88.7,5.0,3.99,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1711,2015,36840.0,1,18.9,1197,82.0,5.0,5.64,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1712,2014,160000.0,1,12.99,2494,100.0,8.0,12.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1713,2008,133000.0,1,16.8,1405,62.0,5.0,0.7,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1714,2015,69123.0,1,18.88,1995,184.0,5.0,19.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1715,2017,38000.0,1,10.91,3198,197.0,7.0,30.48,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1716,2017,5500.0,1,21.56,1462,103.25,5.0,8.2,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1717,2015,1001.0,1,25.83,1498,99.0,5.0,7.55,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1718,2007,59000.0,3,15.26,1150,74.9,5.0,0.99,0,0,0,0,0,0,0,0,0,1,0,0,1,1
1719,2011,78256.0,1,16.8,1497,118.0,5.0,4.15,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1720,2016,90000.0,1,16.95,1498,97.6,5.0,6.2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1721,2016,18000.0,1,19.1,1197,85.8,5.0,4.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1
1722,2012,60000.0,1,20.0,1399,68.0,5.0,2.1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1723,2011,130000.0,1,20.3,1248,75.0,5.0,2.2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1724,2018,32851.0,1,18.6,1197,81.86,5.0,8.34,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1725,2014,32000.0,1,23.4,1248,74.0,5.0,4.35,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1726,2014,62700.0,1,22.7,1498,89.84,5.0,6.8,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1727,2010,71000.0,1,19.3,1248,73.9,5.0,3.3,0,0,0,0,0,1,0,0,0,0,1,0,0,1
1728,2016,19947.0,1,18.9,1197,82.0,5.0,5.04,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1729,2012,91000.0,1,11.4,2953,153.86,7.0,9.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1730,2014,74000.0,1,22.07,1199,73.9,5.0,5.7,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1731,2018,55594.0,1,18.49,1493,100.0,7.0,8.48,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1732,2013,58000.0,1,11.2,2993,306.0,4.0,48.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
1733,2012,110224.0,1,19.01,1461,108.45,5.0,6.1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1734,2010,21002.0,1,22.5,998,67.04,5.0,2.75,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1735,2017,121000.0,1,24.52,1248,88.5,7.0,8.0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1736,2010,73513.0,1,19.7,796,46.3,5.0,1.85,0,0,0,0,0,1,0,0,0,0,0,0,1,1
1737,2015,34000.0,1,20.51,998,67.0,5.0,3.85,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1738,2017,28371.0,1,15.1,1196,73.0,7.0,4.74,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1739,2013,74755.0,1,19.6,1461,108.45,5.0,5.63,0,0,0,0,0,0,1,0,0,0,1,0,0,1
1740,2011,25805.0,1,18.2,1061,64.0,5.0,2.62,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1741,2015,82603.0,1,13.06,1598,102.53,5.0,4.9,0,0,0,0,0,0,1,0,0,0,0,0,1,1
